t,dt,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z
0.0,0.099999,-0.9991145,0.0419871,-0.0016748,0.0021045,,,,0.0,0.0,0.0
0.014161999999998898,0.020001,-0.9991192,0.0418963,-0.0016132,0.0016307,-0.0027303,0.0862491,-0.0043883,,,
0.02695699999998169,0.022998,-0.9991232,0.0418178,-0.0014247,0.0013031,-0.012321,0.0451311,-0.0058563,,,
0.04810700000001589,0.021002,-0.9991252,0.0417785,-0.0013373,0.0011034,-0.0061452,0.0447671,-0.0153793,,,
0.0704560000000356,0.020999,-0.9991263,0.0417588,-0.0013169,0.0010284,0.0037328,0.0238789,-0.0081779,,,
0.08838500000001659,0.1,-0.9991268,0.041749,-0.0013064,0.000988,,,,0.0,0.0,0.0
0.10190499999998792,0.020002,-0.9991268,0.041749,-0.0013064,0.000988,0.007207,-0.007073,0.0003056,,,
0.11516100000000051,0.026004,-0.999127,0.041744,-0.001313,0.0009487,-0.0042624,0.015743,-0.0086363,,,
0.13651900000002115,0.019996,-0.9991271,0.0417416,-0.0013114,0.0009676,-0.0121867,-0.0035345,-0.0201873,,,
0.1551939999999945,0.020005,-0.9991271,0.0417404,-0.0013274,0.0010013,-0.0027517,-0.0021411,-0.017662,,,
0.1752819999999815,0.020001,-0.9991271,0.0417398,-0.0013271,0.0010042,-0.0029017,-0.0039087,-0.0129814,,,
0.1911810000000287,0.100012,-0.9991271,0.0417398,-0.0013271,0.0009326,,,,-0.0239036,-0.0058052,-7.64e-05
0.20490100000000666,0.019997,-0.9991273,0.0417395,-0.0013091,0.0009326,0.002669,0.0155628,-0.0091762,,,
0.21786000000003014,0.022996,-0.9991273,0.0417393,-0.0013043,0.0009184,-0.0016333,-4.64e-05,-0.004344,,,
0.23893400000002885,0.020999,-0.9991273,0.0417392,-0.0013004,0.000927,-0.0001148,0.0261151,-0.0087638,,,
0.26156700000001365,0.021012,-0.9991273,0.0417392,-0.0013235,0.0009328,0.002056,0.0133246,-0.0034053,,,
0.280257000000006,0.019996,-0.9991272,0.0417392,-0.0013455,0.000959,0.0006847,0.0265063,0.0009829,,,
0.29609800000002906,0.10199,-0.9991272,0.0417392,-0.0013455,0.000959,,,,-0.0159813,0.0011815,-4.21e-05
0.3099119999999971,0.019997,-0.9991271,0.0417392,-0.001373,0.0009985,0.0028982,0.0102014,0.0002473,,,
0.323045000000036,0.022994,-0.9991271,0.0417392,-0.0013652,0.0010169,-0.0027929,-0.0045428,0.0023209,,,
0.34419900000000325,0.021007,-0.9991271,0.0417393,-0.0013354,0.0010155,-0.0016787,0.0056326,-0.0049431,,,
0.36412500000000136,0.019994,-0.9991271,0.0417393,-0.0013404,0.0010254,0.0095824,0.0021983,-0.0088192,,,
0.38417600000002494,0.020001,-0.9991271,0.0417393,-0.0013089,0.0010346,0.0047836,0.0124517,-0.0131987,,,
0.4001969999999915,0.102002,-0.9991271,0.0417393,-0.0013089,0.0010346,,,,-0.0158229,0.0013213,-4.02e-05
0.4137820000000261,0.020013,-0.9991271,0.0417393,-0.0013131,0.0009856,-0.0110512,-0.0037,0.000969,,,
0.4271550000000275,0.022986,-0.9991271,0.0417393,-0.0013103,0.0009882,-0.0082493,-0.004711,-0.0024452,,,
0.44726600000001326,0.020001,-0.9991273,0.0417392,-0.0012876,0.0009032,-0.0114565,0.0102406,-0.0080585,,,
0.468496000000016,0.020007,-0.9991273,0.0417392,-0.0012799,0.0008936,-0.0040269,0.0104533,-0.0115976,,,
0.4886510000000044,0.019991,-0.9991274,0.0417393,-0.0012256,0.0008927,-0.0092461,0.0037313,-0.0072637,,,
0.5040549999999939,0.100004,-0.9991274,0.0417393,-0.0012256,0.0008998,,,,-0.0158197,0.001324,-3.77e-05
0.5177740000000313,0.020018,-0.9991274,0.0417393,-0.0011976,0.0008998,-0.0023342,-0.0023,-0.0087588,,,
0.5310650000000123,0.023982,-0.9991274,0.0417393,-0.0011857,0.0009031,-0.0025404,-0.0033625,0.0024565,,,
0.5512259999999856,0.020009,-0.9991274,0.0417394,-0.0011538,0.0009161,-0.0025901,-0.0080289,0.0085525,,,
