t,x_x,x_y,x_z,x_vx,x_vy,x_vz,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0001988,0.0,0.0,1.99e-05,0.0,0.0,0.0,0.0001988,0.0,0.0,1.99e-05,0.0,0.0,0.0,0.0001988,0.0,0.0,1.99e-05,1.99e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.99e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.99e-05,0.0,0.0,4e-06
0.014161999999998898,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.1991,1.7147,-0.0817,0.0001996,0.0,0.0,2e-05,0.0,0.0,0.0,0.0001996,0.0,0.0,2e-05,0.0,0.0,0.0,0.0001996,0.0,0.0,2e-05,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06
0.02695699999998169,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,-0.0,-0.0,-0.0,0.0002006,0.0,0.0,2e-05,0.0,0.0,0.0,0.0002006,0.0,0.0,2e-05,0.0,0.0,0.0,0.0002006,0.0,0.0,2e-05,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06
0.04810700000001589,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,-0.0,-0.0,-0.0,0.0002014,0.0,0.0,2.01e-05,0.0,0.0,0.0,0.0002014,0.0,0.0,2.01e-05,0.0,0.0,0.0,0.0002014,0.0,0.0,2.01e-05,2.01e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.01e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.01e-05,0.0,0.0,4e-06
0.0704560000000356,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,-0.0,-0.0,-0.0,0.0002022,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.0002022,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.0002022,0.0,0.0,2.02e-05,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06
0.08838500000001659,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,-0.0,-0.0,0.0,0.0001982,0.0,0.0,1.98e-05,0.0,0.0,0.0,0.0001982,0.0,0.0,1.98e-05,0.0,0.0,0.0,0.0001982,0.0,0.0,1.98e-05,1.98e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.98e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.98e-05,0.0,0.0,4e-06
0.10190499999998792,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,-0.0,-0.0,-0.0,0.000199,0.0,0.0,1.99e-05,0.0,0.0,0.0,0.000199,0.0,0.0,1.99e-05,0.0,0.0,0.0,0.000199,0.0,0.0,1.99e-05,1.99e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.99e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.99e-05,0.0,0.0,4e-06
0.11516100000000051,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,-0.0,-0.0,-0.0,0.0002001,0.0,0.0,2e-05,0.0,0.0,0.0,0.0002001,0.0,0.0,2e-05,0.0,0.0,0.0,0.0002001,0.0,0.0,2e-05,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2e-05,0.0,0.0,4e-06
0.13651900000002115,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,-0.0,-0.0,-0.0,0.0002009,0.0,0.0,2.01e-05,0.0,0.0,0.0,0.0002009,0.0,0.0,2.01e-05,0.0,0.0,0.0,0.0002009,0.0,0.0,2.01e-05,2.01e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.01e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.01e-05,0.0,0.0,4e-06
0.1551939999999945,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,-0.0,-0.0,-0.0,0.0002017,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.0002017,0.0,0.0,2.02e-05,0.0,0.0,0.0,0.0002017,0.0,0.0,2.02e-05,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.02e-05,0.0,0.0,4e-06
