t,predict_cpu,update_cpu,quat_x,quat_y,quat_z,quat_w,accel_x,accel_y,accel_z,of_x,of_y,of_z,x_x,x_y,x_z,x_vx,x_vy,x_vz,dt,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
37.5983710,,1.0198699,-0.9989699,-0.0453255,-0.0005004,0.0020976,,,,0.0000000,0.0000000,0.0000000,0.3680912,-7.2147741,-21.3936939,0.0000000,0.0000000,0.0000000,0.1019870,0.0515286,0.0000000,0.0000000,0.0071274,0.0000000,0.0000000,0.0000000,0.0515286,0.0000000,0.0000000,0.0071274,0.0000000,0.0000000,0.0000000,0.0515286,0.0000000,0.0000000,0.0071274,0.0071274,0.0000000,0.0000000,0.0019763,0.0000000,0.0000000,0.0000000,0.0071274,0.0000000,0.0000000,0.0019763,0.0000000,0.0000000,0.0000000,0.0071274,0.0000000,0.0000000,0.0019763
37.6122520,1.0996500,,-0.9989699,-0.0453256,-0.0005270,0.0021001,0.0050039,-0.0023717,-0.0001657,,,,0.3680912,-7.2147741,-21.3936939,0.0000000,0.0000000,0.0000000,0.0219930,0.0518421,0.0000000,0.0000000,0.0071710,0.0000000,0.0000000,0.0000000,0.0518421,0.0000000,0.0000000,0.0071710,0.0000000,0.0000000,0.0000000,0.0518421,0.0000000,0.0000000,0.0071710,0.0071710,0.0000000,0.0000000,0.0019823,0.0000000,0.0000000,0.0000000,0.0071710,0.0000000,0.0000000,0.0019823,0.0000000,0.0000000,0.0000000,0.0071710,0.0000000,0.0000000,0.0019823
37.6258020,1.1499000,,-0.9989699,-0.0453256,-0.0005484,0.0021148,0.0037913,-0.0022540,-0.0071629,,,,0.3680912,-7.2147741,-21.3936939,0.0000000,0.0000000,0.0000000,0.0229980,0.0521720,0.0000000,0.0000000,0.0072166,0.0000000,0.0000000,0.0000000,0.0521720,0.0000000,0.0000000,0.0072166,0.0000000,0.0000000,0.0000000,0.0521720,0.0000000,0.0000000,0.0072166,0.0072166,0.0000000,0.0000000,0.0019886,0.0000000,0.0000000,0.0000000,0.0072166,0.0000000,0.0000000,0.0019886,0.0000000,0.0000000,0.0000000,0.0072166,0.0000000,0.0000000,0.0019886
37.6482230,1.0502001,,-0.9989699,-0.0453257,-0.0005772,0.0021204,0.0097463,-0.0019586,-0.0035815,,,,0.3680912,-7.2147741,-21.3936939,0.0000000,0.0000000,0.0000000,0.0210040,0.0524751,0.0000000,0.0000000,0.0072585,0.0000000,0.0000000,0.0000000,0.0524751,0.0000000,0.0000000,0.0072585,0.0000000,0.0000000,0.0000000,0.0524751,0.0000000,0.0000000,0.0072585,0.0072585,0.0000000,0.0000000,0.0019944,0.0000000,0.0000000,0.0000000,0.0072585,0.0000000,0.0000000,0.0019944,0.0000000,0.0000000,0.0000000,0.0072585,0.0000000,0.0000000,0.0019944
37.6667680,0.9997500,,-0.9989699,-0.0453257,-0.0005935,0.0021075,0.0049037,0.0015766,-0.0013025,,,,0.3680912,-7.2147741,-21.3936939,0.0000000,0.0000000,0.0000000,0.0199950,0.0527654,0.0000000,0.0000000,0.0072984,0.0000000,0.0000000,0.0000000,0.0527654,0.0000000,0.0000000,0.0072984,0.0000000,0.0000000,0.0000000,0.0527654,0.0000000,0.0000000,0.0072984,0.0072984,0.0000000,0.0000000,0.0019999,0.0000000,0.0000000,0.0000000,0.0072984,0.0000000,0.0000000,0.0019999,0.0000000,0.0000000,0.0000000,0.0072984,0.0000000,0.0000000,0.0019999
37.6857540,,1.0100100,-0.9989698,-0.0453258,-0.0006101,0.0021116,,,,0.0000000,0.0000000,0.0000000,0.3680912,-7.2147741,-21.3936939,0.0000000,0.0000000,0.0000000,0.1010010,0.0513232,0.0000000,0.0000000,0.0070989,0.0000000,0.0000000,0.0000000,0.0513232,0.0000000,0.0000000,0.0070989,0.0000000,0.0000000,0.0000000,0.0513232,0.0000000,0.0000000,0.0070989,0.0070989,0.0000000,0.0000000,0.0019723,0.0000000,0.0000000,0.0000000,0.0070989,0.0000000,0.0000000,0.0019723,0.0000000,0.0000000,0.0000000,0.0070989,0.0000000,0.0000000,0.0019723
37.6996500,1.0001501,,-0.9989698,-0.0453258,-0.0006101,0.0021116,0.0049085,-0.0046896,-0.0013836,,,,0.3680912,-7.2147741,-21.3936939,0.0000000,0.0000000,0.0000000,0.0200030,0.0516072,0.0000000,0.0000000,0.0071384,0.0000000,0.0000000,0.0000000,0.0516072,0.0000000,0.0000000,0.0071384,0.0000000,0.0000000,0.0000000,0.0516072,0.0000000,0.0000000,0.0071384,0.0071384,0.0000000,0.0000000,0.0019778,0.0000000,0.0000000,0.0000000,0.0071384,0.0000000,0.0000000,0.0019778,0.0000000,0.0000000,0.0000000,0.0071384,0.0000000,0.0000000,0.0019778
37.7127770,1.2995501,,-0.9989698,-0.0453257,-0.0005893,0.0021453,0.0025229,-0.0053203,0.0000406,,,,0.3680912,-7.2147741,-21.3936939,0.0000000,0.0000000,0.0000000,0.0259910,0.0519782,0.0000000,0.0000000,0.0071899,0.0000000,0.0000000,0.0000000,0.0519782,0.0000000,0.0000000,0.0071899,0.0000000,0.0000000,0.0000000,0.0519782,0.0000000,0.0000000,0.0071899,0.0071899,0.0000000,0.0000000,0.0019849,0.0000000,0.0000000,0.0000000,0.0071899,0.0000000,0.0000000,0.0019849,0.0000000,0.0000000,0.0000000,0.0071899,0.0000000,0.0000000,0.0019849
37.7352430,1.0500000,,-0.9989697,-0.0453257,-0.0005884,0.0021739,0.0025279,-0.0087865,-0.0053508,,,,0.3680912,-7.2147741,-21.3936939,0.0000000,0.0000000,0.0000000,0.0210000,0.0522802,0.0000000,0.0000000,0.0072316,0.0000000,0.0000000,0.0000000,0.0522802,0.0000000,0.0000000,0.0072316,0.0000000,0.0000000,0.0000000,0.0522802,0.0000000,0.0000000,0.0072316,0.0072316,0.0000000,0.0000000,0.0019907,0.0000000,0.0000000,0.0000000,0.0072316,0.0000000,0.0000000,0.0019907,0.0000000,0.0000000,0.0000000,0.0072316,0.0000000,0.0000000,0.0019907
37.7540070,1.0000000,,-0.9989697,-0.0453257,-0.0005952,0.0021858,-0.0048014,0.0033963,-0.0026754,,,,0.3680912,-7.2147741,-21.3936939,0.0000000,0.0000000,0.0000000,0.0200000,0.0525695,0.0000000,0.0000000,0.0072715,0.0000000,0.0000000,0.0000000,0.0525695,0.0000000,0.0000000,0.0072715,0.0000000,0.0000000,0.0000000,0.0525695,0.0000000,0.0000000,0.0072715,0.0072715,0.0000000,0.0000000,0.0019962,0.0000000,0.0000000,0.0000000,0.0072715,0.0000000,0.0000000,0.0019962,0.0000000,0.0000000,0.0000000,0.0072715,0.0000000,0.0000000,0.0019962
